match_id,match_num,stage,group_name,home_team,away_team,kickoff_at,venue,status
wc26-071,M071,Group stage,J,Algeria,Austria,2026-06-28T02:00:00Z,"Kansas City, USA",no_market
wc26-072,M072,Group stage,J,Jordan,Argentina,2026-06-28T02:00:00Z,"Arlington, USA",no_market
wc26-073,M073,Round of 32,,Group A runners-up,Group B runners-up,2026-06-28T19:00:00Z,"Los Angeles, USA",no_market
wc26-074,M074,Round of 32,,Group E winners,Group A/B/C/D/F third place,2026-06-29T20:00:00Z,"Foxborough, USA",no_market
wc26-075,M075,Round of 32,,Group F winners,Group C runners-up,2026-06-30T01:00:00Z,"Guadalupe, Mexico",no_market
wc26-076,M076,Round of 32,,Group C winners,Group F runners-up,2026-06-29T17:00:00Z,"Houston, USA",no_market
wc26-077,M077,Round of 32,,Group I winners,Group C/D/F/G/H third place,2026-06-30T21:00:00Z,"New Jersey, USA",no_market
wc26-078,M078,Round of 32,,Group E runners-up,Group I runners-up,2026-06-30T17:00:00Z,"Arlington, USA",no_market
wc26-079,M079,Round of 32,,Group A winners,Group C/E/F/H/I third place,2026-07-01T01:00:00Z,"Mexico City, Mexico",no_market
wc26-080,M080,Round of 32,,Group L winners,Group E/H/I/J/K third place,2026-07-01T16:00:00Z,"Atlanta, USA",no_market
wc26-081,M081,Round of 32,,Group D winners,Group B/E/F/I/J third place,2026-07-02T00:00:00Z,"Santa Clara, USA",no_market
wc26-082,M082,Round of 32,,Group G winners,Group A/E/H/I/J third place,2026-07-01T20:00:00Z,"Seattle, USA",no_market
wc26-083,M083,Round of 32,,Group K runners-up,Group L runners-up,2026-07-02T23:00:00Z,"Toronto, Canada",no_market
wc26-084,M084,Round of 32,,Group H winners,Group J runners-up,2026-07-02T19:00:00Z,"Los Angeles, USA",no_market
wc26-085,M085,Round of 32,,Group B winners,Group E/F/G/I/J third place,2026-07-03T03:00:00Z,"Vancouver, Canada",no_market
wc26-086,M086,Round of 32,,Group J winners,Group H runners-up,2026-07-03T22:00:00Z,"Miami, USA",no_market
wc26-087,M087,Round of 32,,Group K winners,Group D/E/I/J/L third place,2026-07-04T01:00:00Z,"Kansas City, USA",no_market
wc26-088,M088,Round of 32,,Group D runners-up,Group G runners-up,2026-07-03T18:00:00Z,"Arlington, USA",no_market
wc26-089,M089,Round of 16,,Match 74 winners,Match 77 winners,2026-07-04T21:00:00Z,"Philadelphia, USA",no_market
wc26-090,M090,Round of 16,,Match 73 winners,Match 75 winners,2026-07-04T17:00:00Z,"Houston, USA",no_market
wc26-091,M091,Round of 16,,Match 76 winners,Match 78 winners,2026-07-05T20:00:00Z,"New Jersey, USA",no_market
wc26-092,M092,Round of 16,,Match 79 winners,Match 80 winners,2026-07-06T00:00:00Z,"Mexico City, Mexico",no_market
wc26-093,M093,Round of 16,,Match 83 winners,Match 84 winners,2026-07-06T19:00:00Z,"Arlington, USA",no_market
wc26-094,M094,Round of 16,,Match 81 winners,Match 82 winners,2026-07-07T00:00:00Z,"Seattle, USA",no_market
wc26-095,M095,Round of 16,,Match 86 winners,Match 88 winners,2026-07-07T16:00:00Z,"Atlanta, USA",no_market
wc26-096,M096,Round of 16,,Match 85 winners,Match 87 winners,2026-07-07T20:00:00Z,"Vancouver, Canada",no_market
wc26-097,M097,Quarter-finals,,Match 89 winners,Match 90 winners,2026-07-09T20:00:00Z,"Foxborough, USA",no_market
wc26-098,M098,Quarter-finals,,Match 93 winners,Match 94 winners,2026-07-10T19:00:00Z,"Los Angeles, USA",no_market
wc26-099,M099,Quarter-finals,,Match 91 winners,Match 92 winners,2026-07-11T21:00:00Z,"Miami, USA",no_market
wc26-100,M100,Quarter-finals,,Match 95 winners,Match 96 winners,2026-07-12T01:00:00Z,"Kansas City, USA",no_market
wc26-101,M101,Semi-finals,,Match 97 winners,Match 98 winners,2026-07-14T19:00:00Z,"Arlington, USA",no_market
wc26-102,M102,Semi-finals,,Match 99 winners,Match 100 winners,2026-07-15T19:00:00Z,"Atlanta, USA",no_market
wc26-103,M103,Third-place play-off,,Match 101 losers,Match 102 losers,2026-07-18T21:00:00Z,"Miami, USA",no_market
wc26-104,M104,Final,,Match 101 winners,Match 102 winners,2026-07-19T19:00:00Z,"New Jersey, USA",no_market
